id,lat,lon,label
1,59.12124924,5.4300385,Hau-Skud
2,59.11304175,5.24570539,Hau-Skud
3,59.126527,5.15200109,Hau-Skud
4,59.2542259,5.10146542,Hau-Skud
5,59.37830921,5.11160959,Hau-Skud
6,59.4158799,5.15745745,Hau-Skud
7,59.46814521,5.15631353,Hau-Skud
8,59.42538805,5.22663018,Hau-Skud
9,59.41596493,5.23630737,Hau-Skud
10,59.41222713,5.24206075,Hau-Skud
11,59.4095211,5.24785873,Hau-Skud
1,59.4095211,5.24785873,Hau-Skud
2,59.41222713,5.24206075,Hau-Skud
3,59.41596493,5.23630737,Hau-Skud
4,59.42538805,5.22663018,Hau-Skud
5,59.46814508,5.15631383,Hau-Skud
6,59.41588239,5.1574496,Hau-Skud
7,59.3726682,5.10435445,Hau-Skud
8,59.25442045,5.09480562,Hau-Skud
9,59.12389938,5.14593241,Hau-Skud
10,59.10633076,5.24267426,Hau-Skud
11,59.10741116,5.46458765,Hau-Skud
32,58.79531973,5.39650212,Stav-Feis
2,58.85414892,5.51532601,Stav-Feis
3,58.92870516,5.54696341,Stav-Feis
29,58.97875881,5.55315073,Stav-Feis
4,59.01206425,5.53961858,Stav-Feis
24,59.03717101,5.54017967,Stav-Feis
22,59.06251236,5.57026848,Stav-Feis
30,59.02928999,5.62065085,Stav-Feis
31,59.00260332,5.68410413,Stav-Feis
33,58.98616667,5.7116,Stav-Feis
7,58.97757596,5.72596554,Stav-Feis
4,58.97756611,5.72598921,Stav-Feis
18,58.98633212,5.71134896,Stav-Feis
19,59.0034202,5.69128408,Stav-Feis
5,59.03169439,5.62475297,Stav-Feis
6,59.06223487,5.57044147,Stav-Feis
7,59.03719746,5.53981905,Stav-Feis
21,59.01186667,5.53968815,Stav-Feis
20,58.97867789,5.55214898,Stav-Feis
17,58.92876049,5.54681321,Stav-Feis
10,58.86141213,5.50703709,Stav-Feis
12,58.7985905,5.38983562,Stav-Feis
1,59.07455409,5.34576314,Stav-Skud
2,59.10743148,5.46457765,Stav-Skud
3,59.10442634,5.50323349,Stav-Skud
4,59.04567584,5.58379716,Stav-Skud
5,59.02928999,5.62065085,Stav-Skud
6,59.00260332,5.68410413,Stav-Skud
7,58.98633333,5.71132956,Stav-Skud
8,58.97757596,5.72596554,Stav-Skud
1,58.97756611,5.72598921,Stav-Skud
2,58.98633212,5.71134896,Stav-Skud
3,59.0034202,5.69128408,Stav-Skud
4,59.0315842,5.62486781,Stav-Skud
5,59.04514792,5.59887,Stav-Skud
6,59.11010337,5.51029227,Stav-Skud
7,59.12124917,5.43003904,Stav-Skud
8,59.09098201,5.31941936,Stav-Skud
